"Gesamttitel","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
140211999,-42.8,-26.9,4.6,20,-26.2,18.2,-47.2,18.4,-57.2,NA
140212501,3.30000000000001,-62,-42.2,-54.4,-166.1,-48,-119.8,-210.4,-52.7,NA
140235902,-5000,-3259.3,0,-5700,-2767,0,0,0,0,NA
140238101,0,0,0,115,115,115,115,NA,NA,NA
140242703,35,0,0,0,-28.6,-36.5,-18.8,-44.5,-50.1,NA
140251101,-102.2,356.4,432.7,367.6,75.5,96.6,43.1,103.3,83.1,NA
140251102,51.8,14.9,25.5,-6.4,-2.1,-121.7,-46.8,-13.2,-15.8,NA
140251103,39.2,50,14.6,7.3,6.8,10.5,13.1,15,10.3,NA
140251143,264.3,501.9,60.5,-234.5,-55.4000000000001,-212.1,109.4,169.6,38.4000000000001,NA
140251144,-76.8,-81.3,-56.9,-76.6,20.5,56.8,-151.9,-242.3,-485.3,NA
140251802,-2365,-474.6,-276,158.299999999999,-698.299999999999,-1139.9,586.5,610,2323.6,NA
140252537,748.9,65.4,-127.9,-152.2,47.3,222.9,298,340.9,552.1,NA
140252699,0,0,0,0,0,0,0,NA,NA,NA
140252706,69.4,27.8,37,37.4,13.1,17.9,17.4,-35.9,246.5,NA
140253302,NA,0,1819.6,1864.2,1440.6,708.2,323,3229.5,2307,NA
140253303,18.5,-214.8,1221.1,1508.2,-9185,8998,163.599999999999,7386.8,8972.4,NA
140253304,396.6,-262.700000000001,1529.6,1695.5,11936,-8749.5,NA,NA,NA,NA
140253356,-8503.1,-4244.3,-3808.4,-12995.2,-4788.39999999999,6422.09999999999,-3211.39999999999,-9593.3,8196.7,NA
140253413,83.5,-111.1,-123,-48.5,-7.79999999999995,51.7,-194.3,770,NA,NA
140253503,266.2,30.7,0.0999999999999996,-3.4,13,-10.1,-16.5,15.5,116.9,NA
140253602,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA
140253703,0,35,35,0,-31.8,0,0,0,0,NA
140263102,-51.8,-443.5,248.9,18.4,-103.5,45.2,38.7,-109.3,-757.8,NA
140263206,116.8,-763.2,-23,-189.5,-449.6,667,282.1,-92.8999999999996,-211.8,NA
140268504,333,96.6,8.80000000000001,104.7,-223,64.7,57.8,-222.1,-336.9,NA
140271101,43.9,4.6,0.5,0.5,0.7,1,-31.9,45,10,NA
140271131,113.9,0,-16,0,-315.3,-132.9,0,0,0,NA
140281201,NA,0,0,0,0,0,0,0,0,NA
140281202,0,0,0,0,0,0,-304.9,-151.2,-181.9,NA
140281246,5623.1,2737.9,3201.4,2448.9,1151.7,-117.5,-2733.2,-8884.5,-1308.2,NA
140291902,-2000,0,-3830.3,0,0,-6615,0,0,-20000,NA
140335601,NA,NA,298.4,257.6,115.8,25,800,0,0,NA
140335905,-580.8,0,0,-2250,0,0,NA,NA,NA,NA
140353306,NA,NA,NA,0,487,586.3,621.9,601.8,446.3,NA
140363313,2000,1500,1500,1000,0,0,NA,NA,NA,NA
140368501,-269.6,-917,-1359.6,-2678.8,8.7,0,0,0,NA,NA
140368502,1000,186.8,298.4,257.6,115.8,25,800,NA,NA,NA
140453401,317.2,107,61.9,166.4,59.6,50,NA,NA,NA,NA
140453402,41.3,50,50,20,0,0,NA,NA,NA,NA
140453501,0,-21.7,34.8,-38.5,95,0,0,-25.6,31.7,NA
140468502,250,191,172,192.9,155.4,372,NA,NA,NA,NA
140551101,NA,-7.6,-11.1,8.6,9.6,12.9,4.7,-16.2,14,NA
140551701,NA,8.3,-136.2,-25.6,1.59999999999999,-51.5,189.9,230,230,NA
140552501,NA,-0.0999999999999996,-25.9,-1.3,13.4,1.5,5.6,-14.8,13.5,NA
140552701,NA,7.7,0,-6.4,2.9,-0.300000000000001,6.2,0.2,7.1,NA
140553301,NA,-60.8,-1136.6,-411.8,-6.19999999999982,-384.9,2117.1,496.299999999999,3887,NA
140553501,NA,4.6,4.5,4.7,5,5,4.9,5,4.8,NA
140581201,NA,-1312.1,3854.3,626,246,661.5,-293.8,207.8,661.2,NA
